,City,Latitudes,Longtitudes,Humidity,Wind Speed,Cloudiness,Temperature
0,Bambous Virieux,-20.34,57.76,78,5.1,40,23.67
1,Tautira,-17.73,-149.15,69,8.2,20,27.89
2,Busselton,-33.65,115.33,34,3.41,1,21.9
3,Saint-Philippe,-21.36,55.77,49,3.1,36,20.62
4,Jamestown,42.1,-79.24,93,4.6,90,11.41
5,Grindavik,63.84,-22.43,86,4.1,46,1.0
6,Cabo San Lucas,22.89,-109.91,58,1.5,5,28.63
7,Kununurra,-15.77,128.73,35,2.6,26,37.0
8,Hobart,-42.88,147.33,62,5.7,20,17.0
9,Kapaa,22.08,-159.32,66,4.6,40,28.06
10,East London,-33.02,27.91,76,9.35,74,17.29
11,Nikolskoye,59.7,30.79,80,6.0,90,1.2
12,Dikson,73.51,80.55,95,7.49,98,-4.28
13,Dingle,11.0,122.67,85,1.54,100,26.78
14,Rikitea,-23.12,-134.97,77,4.73,0,23.5
15,Clyde River,70.47,-68.59,91,5.7,90,0.0
16,Narsaq,60.92,-46.05,84,2.1,98,0.0
17,Vila,42.03,-8.16,95,1.34,86,12.78
18,Mar del Plata,-38.0,-57.56,62,5.1,7,11.44
19,Bredasdorp,-34.53,20.04,71,5.7,51,14.0
20,Saint-Joseph,-21.37,55.62,49,3.1,16,20.65
21,São José da Coroa Grande,-8.9,-35.15,78,4.22,24,23.97
22,Hermanus,-34.42,19.23,89,0.89,15,13.33
23,Ushuaia,-54.8,-68.3,92,13.9,75,2.0
24,Goderich,43.75,-81.72,81,3.63,100,6.7
25,Atuona,-9.8,-139.03,74,8.21,1,25.94
26,Tual,-5.67,132.75,93,1.39,100,24.34
27,Geraldton,-28.77,114.6,53,5.1,75,22.0
28,Port Alfred,-33.59,26.89,77,9.72,13,16.43
29,Saint George,37.1,-113.58,12,3.1,1,26.0
30,Caluquembe,-13.78,14.68,81,0.45,68,16.15
31,Albany,42.6,-73.97,89,3.33,100,12.75
32,Pisco,-13.7,-76.22,77,6.2,0,16.86
33,Araouane,18.9,-3.53,15,3.55,0,28.85
34,Lebu,-37.62,-73.65,74,6.42,1,9.46
35,Orbetello,42.44,11.22,87,1.5,16,9.95
36,Ribeira Brava,32.65,-17.07,98,3.13,100,18.19
37,Arraial do Cabo,-22.97,-42.03,83,10.02,96,22.37
38,Yellowknife,62.46,-114.35,85,1.0,75,-3.98
39,Saint Paul Harbor,57.79,-152.41,49,4.1,1,8.0
40,Punta Arenas,-53.15,-70.92,80,9.3,20,3.94
41,Tuktoyaktuk,69.45,-133.04,85,6.7,90,-5.0
42,Derzhavīnsk,51.1,66.32,73,4.85,0,8.39
43,Nome,64.5,-165.41,93,0.47,90,3.37
44,Deputatsky,69.3,139.9,96,1.48,97,-11.15
45,Huron,41.15,-82.55,94,0.89,99,9.41
46,George Town,5.41,100.34,79,0.5,20,29.42
47,Ribeira Grande,38.52,-28.7,66,10.99,45,18.02
48,Gizo Government Station,-8.1,156.84,67,1.74,73,29.41
49,Barrow,71.29,-156.79,79,5.1,90,-4.0
50,San Quintín,30.48,-115.95,83,5.87,0,20.12
51,Mataura,-46.19,168.86,69,6.26,88,11.11
52,Avarua,-21.21,-159.78,74,2.1,48,27.0
53,Pevek,69.7,170.31,93,6.73,18,-3.03
54,Yulara,-25.24,130.99,48,4.1,0,28.0
55,Toora-Khem,52.47,96.11,80,2.05,89,-3.82
56,Kismayo,-0.36,42.55,84,5.71,20,25.79
57,Sakakah,29.97,40.21,16,2.38,0,18.0
58,Cururupu,-1.83,-44.87,84,2.37,53,25.16
59,Varberg,57.11,12.25,92,4.02,100,7.78
60,Aksu,41.12,80.26,35,0.72,0,13.75
61,Golčův Jeníkov,49.82,15.48,86,2.1,53,4.14
62,Souillac,-20.52,57.52,78,5.1,40,23.0
63,Butaritari,3.07,172.79,75,4.72,100,28.18
64,Šeduva,55.77,23.77,83,4.1,63,3.0
65,Nouakchott,18.09,-15.98,25,3.1,0,29.0
66,Arrondissement de Limoux,42.92,2.17,87,8.2,90,13.74
67,Beringovskiy,63.05,179.32,90,5.9,98,4.33
68,Ternate,0.8,127.4,68,3.76,88,28.96
69,Leningradskiy,69.38,178.42,91,2.97,37,-3.16
70,Zhanakorgan,43.91,67.25,38,1.61,0,12.36
71,Port Hardy,50.7,-127.42,93,2.1,75,8.0
72,Te Anau,-45.42,167.72,50,2.47,6,12.76
73,Vaini,-21.2,-175.2,65,5.1,40,25.0
74,Port Blair,11.67,92.75,79,7.09,54,28.35
75,Cidreira,-30.18,-50.21,92,5.78,0,19.39
76,Port Elizabeth,-33.92,25.57,82,10.3,73,15.0
77,Saldanha,-33.01,17.94,81,1.0,71,10.0
78,Dolisie,-4.2,12.67,95,1.02,87,21.78
79,New Norfolk,-42.78,147.06,58,0.89,76,17.95
80,Klæbu,63.3,10.48,92,4.6,0,0.1
81,Barra do Garças,-15.89,-52.26,90,0.38,69,22.24
82,Olafsvik,64.89,-23.71,75,2.36,60,3.61
83,Qasigiannguit,68.82,-51.19,87,4.1,100,3.0
84,Kaitangata,-46.28,169.85,50,3.41,88,12.65
85,Paysandu,-32.32,-58.08,74,4.92,67,21.67
86,Dzilam González,21.28,-88.93,91,2.2,0,24.27
87,Hong Kong,22.29,114.16,64,0.45,0,24.14
88,Philadelphia,39.95,-75.16,87,3.6,75,14.96
89,Provideniya,64.38,-173.3,80,2.0,75,4.0
90,Tarakan,3.3,117.63,83,3.36,100,26.19
91,Oranjemund,-28.55,16.43,88,4.78,12,13.44
92,Amalāpuram,16.58,82.02,88,2.1,75,26.0
93,Rocha,-34.48,-54.33,92,6.08,93,15.41
94,Bahçe,37.2,36.58,82,2.6,67,14.0
95,Guerrero Negro,27.98,-114.06,73,5.61,0,22.56
96,Hilo,19.73,-155.09,58,5.1,75,25.53
97,Sire,12.93,5.2,39,2.34,0,27.0
98,Madawaska,47.36,-68.33,93,2.6,90,7.86
99,Hungund,16.07,76.05,84,3.46,95,24.31
100,Eureka,40.8,-124.16,91,2.73,3,12.78
101,Mount Gambier,-37.83,140.77,58,2.6,90,15.0
102,Bathsheba,13.22,-59.52,78,2.6,40,28.0
103,Bonavista,48.65,-53.11,87,0.45,33,10.0
104,Port Hedland,-20.32,118.57,58,5.7,0,30.0
105,Los Llanos de Aridane,28.66,-17.92,57,3.1,88,22.33
106,São Filipe,14.9,-24.5,73,0.74,30,27.57
107,Chara,56.91,118.26,94,3.03,100,-2.72
108,Acapulco de Juárez,16.86,-99.89,74,3.1,75,28.0
109,Mahon,39.89,4.27,82,4.1,2,16.0
110,Severo-Kuril'sk,50.68,156.12,67,6.37,87,5.27
111,Luocheng,29.38,104.03,94,1.59,100,13.58
112,Coquimbo,-29.95,-71.34,82,3.6,0,13.0
113,Sitrah,26.15,50.62,54,5.1,0,27.0
114,Hasaki,35.73,140.83,64,5.7,75,19.82
115,Klaksvík,62.23,-6.59,86,2.1,5,3.0
116,Ambilobe,-13.2,49.05,61,1.02,3,23.37
117,Kargasok,59.06,80.86,95,3.34,100,2.6
118,Hithadhoo,-0.6,73.08,78,6.07,87,28.11
119,Katsuura,35.13,140.3,67,5.7,75,18.32
120,Mahébourg,-20.41,57.7,78,5.1,40,23.0
121,Laguna,38.42,-121.42,40,2.28,1,22.95
122,Faya,18.39,42.45,27,2.1,0,11.5
123,Tazovsky,67.47,78.7,97,3.53,46,-8.56
124,Viedma,-40.81,-63.0,60,0.45,0,7.78
125,Yerbogachën,61.28,108.01,95,4.18,100,-3.7
126,Nuuk,64.18,-51.72,39,20.1,100,10.0
127,Gari,59.43,62.35,99,2.61,46,-0.62
128,Codrington,-38.27,141.97,76,3.44,85,13.72
129,Sūsangerd,31.56,48.18,58,1.0,0,15.0
130,Roald,62.58,6.13,64,4.1,67,3.16
131,Sørland,67.67,12.69,74,2.6,20,1.0
132,Chui,-33.7,-53.46,78,5.97,10,18.85
133,Upernavik,72.79,-56.15,95,2.94,100,0.14
134,Nha Trang,12.25,109.18,66,1.0,20,32.0
135,Ibrā’,22.69,58.53,14,2.32,0,24.49
136,Thompson,55.74,-97.86,73,2.6,90,-3.0
137,Kasungu,-13.03,33.48,65,1.7,0,18.46
138,Otradnoye,59.78,30.82,80,6.0,90,1.2
139,Puerto Ayora,-0.74,-90.35,95,2.24,91,20.56
140,Andra,62.51,65.89,97,1.52,100,-0.94
141,Gorom-Gorom,14.44,-0.24,28,2.48,0,30.77
142,Río Gallegos,-51.62,-69.22,56,12.3,57,5.0
143,Vila Franca do Campo,37.72,-25.43,77,6.7,20,16.0
144,Teguise,29.06,-13.56,88,1.5,40,20.0
145,Choix,26.71,-108.32,57,0.86,0,27.97
146,Bengkulu,-3.8,102.27,64,0.66,100,29.09
147,Anadyr,64.75,177.48,74,6.0,40,2.88
148,Phuket,8.0,98.25,83,2.1,20,28.0
149,Spirit River,55.78,-118.84,79,2.6,75,-7.17
150,Xichang,27.9,102.26,80,0.75,97,12.83
151,Esperance,-33.87,121.9,82,5.1,75,19.0
152,Kavieng,-2.57,150.8,70,1.51,99,28.66
153,Airai,-8.93,125.41,31,2.19,1,27.85
154,Niamey,13.51,2.11,58,1.5,0,28.0
155,Asău,46.43,26.4,93,0.5,0,2.76
156,Kashgar,39.45,75.98,32,5.0,0,11.0
157,Mehamn,71.04,27.85,80,6.58,100,2.96
158,Vao,-22.67,167.48,77,8.95,35,22.82
159,Itoman,26.12,127.67,62,9.3,40,29.38
160,Qaanaaq,77.48,-69.36,88,2.91,68,-1.9
161,Scarborough,54.28,-0.4,84,0.89,100,9.78
162,Adrar,20.5,-10.07,21,4.41,0,27.36
163,Torbay,47.67,-52.73,87,4.6,20,8.84
164,Cayenne,4.93,-52.33,88,1.5,47,26.0
165,Mmathubudukwane,-24.6,26.43,25,2.1,7,25.0
166,Sirte,31.21,16.59,61,4.92,0,21.28
167,Fukuechō,32.69,128.84,56,5.1,20,21.0
168,Caravelas,-17.71,-39.25,86,1.24,100,22.18
169,Atamanovka,51.93,113.63,69,5.0,75,2.0
170,Yar-Sale,66.83,70.83,96,1.36,3,-8.46
171,Saint-Pierre,-21.34,55.48,49,3.1,0,20.57
172,Mahanje,-9.93,35.33,81,1.22,18,17.37
173,Chipping Sodbury,51.54,-2.39,92,2.24,100,12.92
174,Castro,-24.79,-50.01,93,4.69,56,17.3
175,Bethel,41.37,-73.41,95,1.09,100,11.75
176,Salalah,17.02,54.09,54,2.1,40,26.0
177,Longyearbyen,78.22,15.64,63,4.6,75,-2.0
178,Penzance,50.12,-5.54,93,9.3,52,13.38
179,Bridlington,54.08,-0.19,76,4.6,100,10.31
180,Ponta do Sol,32.67,-17.1,90,5.81,100,18.26
181,Chumikan,54.72,135.31,73,10.87,0,2.17
182,Kidal,18.44,1.41,15,4.72,0,28.34
183,Qui Nhon,13.77,109.23,82,2.78,100,27.53
184,Kutum,14.2,24.67,21,3.54,7,22.6
185,Tupik,54.43,119.93,92,1.82,100,0.53
186,Kerema,-7.96,145.78,77,2.83,71,28.23
187,Iquitos,-3.75,-73.25,67,0.93,98,25.31
188,Yeppoon,-23.13,150.73,38,3.1,40,31.0
189,Churapcha,62.0,132.43,94,3.32,100,-7.78
190,Tura,25.52,90.22,71,1.55,4,27.81
191,Boende,-0.22,20.87,98,2.18,100,21.84
192,Cachoeira do Sul,-30.04,-52.89,71,1.85,0,19.36
193,Oranjestad,12.52,-70.03,79,4.1,20,29.0
194,Sos'va,59.18,61.86,98,2.14,28,-0.38
195,Adré,13.47,22.2,23,4.28,0,22.94
196,Norman Wells,65.28,-126.83,85,6.7,40,-9.0
197,Isangel,-19.55,169.27,65,5.1,75,27.0
198,Edd,13.93,41.69,72,2.2,0,27.84
199,Totness,5.88,-56.32,81,4.92,64,27.26
200,Chokurdakh,70.63,147.92,98,2.76,97,-8.37
201,Basco,20.45,121.97,78,15.39,76,28.35
202,Marzuq,14.4,46.47,31,1.2,0,16.01
203,Coahuayana Viejo,18.73,-103.68,87,0.65,41,26.24
204,Sittwe,20.15,92.9,73,4.57,73,28.69
205,Thinadhoo,0.53,72.93,77,5.87,97,28.24
206,Khromtau,50.25,58.43,52,4.98,86,7.65
207,Bandarbeyla,9.49,50.81,66,3.15,17,25.45
208,Bluff,-46.6,168.33,69,6.26,43,11.11
209,Burē,10.7,37.07,91,1.55,37,12.06
210,Ostrovnoy,68.05,39.51,83,5.78,100,1.85
211,Port Macquarie,-31.43,152.92,64,4.23,27,20.56
212,Vélingara,13.15,-14.12,71,1.76,0,24.41
213,Zhigansk,66.77,123.37,96,5.92,100,-7.2
214,Saint-François,46.42,3.91,62,5.1,95,15.0
215,Ilulissat,69.22,-51.1,94,4.1,100,3.0
216,Amapá,1.0,-52.0,83,1.35,100,23.0
217,Gillette,44.29,-105.5,87,3.6,90,4.35
218,Salice Salentino,40.39,17.96,82,3.1,0,11.51
219,Voh,-20.97,164.7,58,2.46,39,25.8
220,Pangnirtung,66.15,-65.71,91,2.74,95,-5.06
221,Hammerfest,70.66,23.68,91,6.2,75,1.0
222,Cataguases,-21.39,-42.7,87,0.98,100,21.11
223,Cavan,53.99,-7.36,92,3.58,100,12.78
224,Kuching,1.55,110.33,83,1.0,40,29.0
225,Xai-Xai,-25.05,33.64,57,5.51,0,21.12
